Type,Field,Genotype,Block,Length,Width,Area,Weight
Triticum aestivum,Field_1,CV_2,I,6.14,3.89,17.85,45.15
Triticum aestivum,Field_1,CV_2,I,6.43,3.29,15.79,38.38
Triticum aestivum,Field_1,CV_2,I,6.55,3.53,18.0,45.65
Triticum aestivum,Field_1,CV_2,I,6.16,3.37,16.23,39.81
Triticum aestivum,Field_1,CV_2,I,5.8,3.13,13.86,32.3
Triticum aestivum,Field_1,CV_2,I,6.24,3.1,14.47,34.2
Triticum aestivum,Field_1,CV_2,I,5.93,2.86,13.0,29.68
Triticum aestivum,Field_1,CV_2,I,6.34,3.24,15.87,38.64
Triticum aestivum,Field_1,CV_2,I,4.75,2.74,9.81,20.46
Triticum aestivum,Field_1,CV_2,I,4.21,1.88,5.56,9.66
Triticum aestivum,Field_1,CV_2,I,5.73,3.48,15.33,36.91
Triticum aestivum,Field_1,CV_2,I,6.38,2.99,14.29,33.65
Triticum aestivum,Field_1,CV_2,I,5.38,3.24,13.3,30.59
Triticum aestivum,Field_1,CV_2,I,6.45,3.8,19.27,49.94
Triticum aestivum,Field_1,CV_2,I,6.68,3.39,17.62,44.38
Triticum aestivum,Field_1,CV_2,I,5.99,2.98,13.44,31.03
Triticum aestivum,Field_1,CV_2,I,6.55,3.75,18.4,46.99
Triticum aestivum,Field_1,CV_2,I,5.59,3.16,12.74,28.91
Triticum aestivum,Field_1,CV_2,I,6.16,2.67,12.26,27.48
Triticum aestivum,Field_1,CV_2,I,5.65,3.36,14.45,34.14
Triticum aestivum,Field_1,CV_2,I,6.55,3.45,17.53,44.08
Triticum aestivum,Field_1,CV_2,I,6.58,3.58,17.54,44.11
Triticum aestivum,Field_1,CV_2,I,5.72,3.22,14.1,33.07
Triticum aestivum,Field_1,CV_2,I,6.24,3.25,15.6,37.78
Triticum aestivum,Field_1,CV_2,I,6.01,2.57,11.45,25.1
Triticum aestivum,Field_1,CV_2,I,5.59,2.97,12.69,28.75
Triticum aestivum,Field_1,CV_2,I,6.71,3.77,19.58,51.04
Triticum aestivum,Field_1,CV_2,I,6.24,3.28,14.6,34.61
Triticum aestivum,Field_1,CV_2,I,5.8,2.56,10.93,23.62
Triticum aestivum,Field_1,CV_2,I,6.03,2.75,12.8,29.1
Triticum aestivum,Field_1,CV_2,I,7.17,3.54,19.79,51.74
Triticum aestivum,Field_1,CV_2,I,5.11,2.51,9.89,20.68
Triticum aestivum,Field_1,CV_2,I,6.02,2.58,11.81,26.15
Triticum aestivum,Field_1,CV_2,I,6.03,2.92,12.78,29.02
Triticum aestivum,Field_1,CV_2,I,6.3,3.3,16.29,40.01
Triticum aestivum,Field_1,CV_2,I,5.54,2.67,11.14,24.2
Triticum aestivum,Field_1,CV_2,I,6.5,3.04,15.2,36.51
Triticum aestivum,Field_1,CV_2,I,6.49,3.91,18.88,48.61
Triticum aestivum,Field_1,CV_2,I,6.45,3.04,14.62,34.67
Triticum aestivum,Field_1,CV_2,I,6.95,3.34,17.58,44.26
Triticum aestivum,Field_1,CV_2,I,6.75,3.33,17.91,45.35
Triticum aestivum,Field_1,CV_2,I,6.67,3.71,19.1,49.37
Triticum aestivum,Field_1,CV_2,I,6.83,3.79,20.32,53.58
Triticum aestivum,Field_1,CV_2,I,5.46,3.01,12.47,28.12
Triticum aestivum,Field_1,CV_2,I,5.91,3.13,13.49,31.19
Triticum aestivum,Field_1,CV_2,I,6.42,3.98,20.09,52.78
Triticum aestivum,Field_1,CV_2,I,6.33,3.96,19.58,51.04
Triticum aestivum,Field_1,CV_2,I,7.39,3.79,20.93,55.72
Triticum aestivum,Field_1,CV_2,I,6.79,3.95,20.15,53.0
Triticum aestivum,Field_1,CV_2,I,6.98,3.83,20.32,53.58
Triticum aestivum,Field_1,CV_2,I,6.19,2.73,12.39,27.88
Triticum aestivum,Field_1,CV_2,I,6.63,3.28,16.46,40.56
Triticum aestivum,Field_1,CV_2,I,6.37,3.11,15.02,35.95
Triticum aestivum,Field_1,CV_2,I,5.86,2.69,11.83,26.21
Triticum aestivum,Field_1,CV_2,I,6.55,3.15,15.37,37.05
Triticum aestivum,Field_1,CV_2,I,6.55,3.93,19.44,50.55
Triticum aestivum,Field_1,CV_2,I,5.69,3.69,15.44,37.27
Triticum aestivum,Field_1,CV_2,I,6.13,3.18,14.53,34.39
Triticum aestivum,Field_1,CV_2,I,6.53,3.04,15.71,38.12
Triticum aestivum,Field_1,CV_2,I,6.21,3.55,17.56,44.17
Triticum aestivum,Field_1,CV_2,I,5.53,2.67,11.06,23.97
Triticum aestivum,Field_1,CV_2,I,6.51,2.95,14.39,33.95
Triticum aestivum,Field_1,CV_2,I,5.36,3.81,15.34,36.96
Triticum aestivum,Field_1,CV_2,I,5.66,2.52,10.9,23.52
Triticum aestivum,Field_1,CV_2,I,6.74,3.6,18.45,47.17
Triticum aestivum,Field_1,CV_2,I,5.98,3.52,16.33,40.15
Triticum aestivum,Field_1,CV_2,I,6.82,3.45,17.75,44.82
Triticum aestivum,Field_1,CV_2,I,6.62,3.61,17.83,45.09
Triticum aestivum,Field_1,CV_2,I,6.02,3.04,13.34,30.73
Triticum aestivum,Field_1,CV_2,I,6.73,3.26,17.05,42.5
Triticum aestivum,Field_1,CV_2,I,6.26,3.89,18.49,47.29
Triticum aestivum,Field_1,CV_2,I,5.49,2.63,10.93,23.59
Triticum aestivum,Field_1,CV_2,I,6.11,3.24,14.99,35.84
Triticum aestivum,Field_1,CV_2,I,7.18,3.78,21.23,56.79
Triticum aestivum,Field_1,CV_2,I,5.42,2.85,11.25,24.53
Triticum aestivum,Field_1,CV_2,I,6.82,3.27,17.88,45.26
Triticum aestivum,Field_1,CV_2,I,6.55,3.95,19.75,51.62
Triticum aestivum,Field_1,CV_2,I,6.16,2.18,10.38,22.04
Triticum aestivum,Field_1,CV_2,I,7.2,3.63,20.19,53.12
Triticum aestivum,Field_1,CV_2,I,7.17,3.69,19.99,52.45
Triticum aestivum,Field_1,CV_2,I,6.07,2.85,12.78,29.04
Triticum aestivum,Field_1,CV_2,I,7.12,3.75,20.45,54.05
Triticum aestivum,Field_1,CV_2,I,6.32,3.04,14.64,34.75
Triticum aestivum,Field_1,CV_2,I,6.23,3.44,16.54,40.82
Triticum aestivum,Field_1,CV_2,I,6.94,3.48,18.75,48.19
Triticum aestivum,Field_1,CV_2,I,6.92,3.57,19.19,49.67
Triticum aestivum,Field_1,CV_2,I,6.05,3.57,16.96,42.21
Triticum aestivum,Field_1,CV_2,I,5.55,2.61,10.69,22.94
Triticum aestivum,Field_1,CV_2,I,6.57,3.65,18.6,47.68
Triticum aestivum,Field_1,CV_2,I,6.31,3.7,18.11,46.01
Triticum aestivum,Field_1,CV_2,I,6.59,3.35,16.68,41.28
Triticum aestivum,Field_1,CV_2,I,5.91,3.22,14.03,32.85
Triticum aestivum,Field_1,CV_2,I,6.31,4.01,19.67,51.34
Triticum aestivum,Field_1,CV_2,I,6.16,3.45,16.02,39.12
Triticum aestivum,Field_1,CV_2,I,5.09,3.21,12.12,27.06
Triticum aestivum,Field_1,CV_2,I,6.1,2.55,11.16,24.28
Triticum aestivum,Field_1,CV_2,I,6.55,2.97,14.78,35.17
Triticum aestivum,Field_1,CV_2,I,6.55,3.39,16.99,42.3
Triticum aestivum,Field_1,CV_2,I,6.84,3.8,19.69,51.4
Triticum aestivum,Field_1,CV_2,I,5.94,3.25,14.78,35.17
Triticum aestivum,Field_1,CV_2,I,6.11,3.21,14.71,34.95
Triticum aestivum,Field_1,CV_2,I,5.72,2.89,12.86,29.26
Triticum aestivum,Field_1,CV_2,I,5.13,1.99,7.44,14.19
Triticum aestivum,Field_1,CV_2,I,5.96,3.02,13.21,30.33
Triticum aestivum,Field_1,CV_2,I,5.95,3.63,16.18,39.67
Triticum aestivum,Field_1,CV_2,I,6.79,3.65,18.7,48.01
Triticum aestivum,Field_1,CV_2,I,7.11,3.54,19.69,51.4
Triticum aestivum,Field_1,CV_2,I,6.43,2.99,14.45,34.14
Triticum aestivum,Field_1,CV_2,I,7.03,3.68,20.25,53.34
Triticum aestivum,Field_1,CV_2,I,6.2,3.16,15.49,37.44
Triticum aestivum,Field_1,CV_2,I,5.96,3.04,13.31,30.62
Triticum aestivum,Field_1,CV_2,I,6.1,2.77,13.22,30.35
Triticum aestivum,Field_1,CV_2,I,6.37,3.52,17.03,42.41
Triticum aestivum,Field_1,CV_2,I,5.93,3.36,15.51,37.5
Triticum aestivum,Field_1,CV_2,I,6.37,3.68,18.08,45.92
Triticum aestivum,Field_1,CV_2,I,6.48,3.33,17.31,43.35
Triticum aestivum,Field_1,CV_2,I,6.61,3.77,18.97,48.94
Triticum aestivum,Field_1,CV_2,I,5.39,2.91,12.06,26.88
Triticum aestivum,Field_1,CV_2,I,6.23,3.75,17.83,45.09
Triticum aestivum,Field_1,CV_2,I,6.04,3.87,18.29,46.63
Triticum aestivum,Field_1,CV_2,I,6.26,2.69,13.0,29.68
Triticum aestivum,Field_1,CV_2,I,6.57,3.54,17.27,43.23
Triticum aestivum,Field_1,CV_2,I,5.98,3.66,16.43,40.47
Triticum aestivum,Field_1,CV_2,I,5.8,3.71,16.18,39.64
Triticum aestivum,Field_1,CV_2,I,7.08,4.19,22.73,62.14
Triticum aestivum,Field_1,CV_2,I,6.09,3.06,14.02,32.82
Triticum aestivum,Field_1,CV_2,I,6.17,2.92,13.42,30.97
Triticum aestivum,Field_1,CV_2,I,6.68,3.97,20.58,54.48
Triticum aestivum,Field_1,CV_2,I,6.24,3.84,18.15,46.16
Triticum aestivum,Field_1,CV_2,I,7.12,3.56,19.74,51.59
Triticum aestivum,Field_1,CV_2,I,6.3,3.35,16.83,41.77
Triticum aestivum,Field_1,CV_2,I,6.42,2.83,14.04,32.88
Triticum aestivum,Field_1,CV_2,I,7.2,3.69,20.82,55.35
Triticum aestivum,Field_1,CV_2,I,6.02,3.04,13.24,30.43
Triticum aestivum,Field_1,CV_2,I,6.28,2.52,12.41,27.93
Triticum aestivum,Field_1,CV_2,I,4.94,3.1,11.29,24.64
Triticum aestivum,Field_1,CV_2,I,6.16,3.04,14.38,33.92
Triticum aestivum,Field_1,CV_2,I,5.1,2.81,11.03,23.9
Triticum aestivum,Field_1,CV_2,I,5.84,3.0,13.19,30.27
Triticum aestivum,Field_1,CV_2,I,6.37,3.26,15.84,38.55
Triticum aestivum,Field_1,CV_2,I,5.68,2.49,10.16,21.44
Triticum aestivum,Field_1,CV_2,I,6.49,4.02,19.73,51.53
Triticum aestivum,Field_1,CV_2,I,6.07,2.86,12.74,28.91
Triticum aestivum,Field_1,CV_2,I,6.16,3.51,16.52,40.76
Triticum aestivum,Field_1,CV_2,I,4.81,2.55,9.46,19.49
Triticum aestivum,Field_1,CV_2,I,5.39,3.21,12.83,29.18
Triticum aestivum,Field_1,CV_2,I,7.22,3.74,21.29,57.01
Triticum aestivum,Field_1,CV_2,I,6.26,3.19,15.5,37.47
Triticum aestivum,Field_1,CV_2,I,6.98,4.18,21.58,58.01
Triticum aestivum,Field_1,CV_2,I,6.57,3.38,17.51,44.02
Triticum aestivum,Field_1,CV_2,I,7.27,3.94,22.46,61.18
Triticum aestivum,Field_1,CV_2,I,6.36,2.62,12.41,27.93
Triticum aestivum,Field_1,CV_2,I,5.14,2.56,9.87,20.63
Triticum aestivum,Field_1,CV_2,I,5.91,3.95,17.64,44.47
Triticum aestivum,Field_1,CV_2,I,5.89,3.87,17.26,43.17
Triticum aestivum,Field_1,CV_2,I,6.45,3.93,19.16,49.58
Triticum aestivum,Field_1,CV_2,I,6.69,3.5,18.34,46.78
Triticum aestivum,Field_1,CV_2,I,5.5,4.09,16.52,40.76
Triticum aestivum,Field_1,CV_2,I,6.15,3.88,17.93,45.41
Triticum aestivum,Field_1,CV_2,I,6.44,3.45,17.27,43.23
Triticum aestivum,Field_1,CV_2,I,5.22,3.08,11.98,26.65
Triticum aestivum,Field_1,CV_2,I,6.49,3.99,19.68,51.37
Triticum aestivum,Field_1,CV_2,I,5.46,2.57,10.81,23.27
Triticum aestivum,Field_1,CV_2,I,6.07,2.79,12.92,29.44
Triticum aestivum,Field_1,CV_2,I,7.09,4.43,23.44,64.71
Triticum aestivum,Field_1,CV_2,I,7.46,3.65,21.9,59.18
Triticum aestivum,Field_1,CV_2,I,5.99,3.33,14.91,35.59
Triticum aestivum,Field_1,CV_2,I,6.64,3.33,17.17,42.88
Triticum aestivum,Field_1,CV_2,I,6.64,3.46,17.31,43.35
Triticum aestivum,Field_1,CV_2,I,5.61,3.75,15.95,38.89
Triticum aestivum,Field_1,CV_2,I,7.44,3.65,21.38,57.32
Triticum aestivum,Field_1,CV_2,I,5.54,2.9,12.19,27.27
Triticum aestivum,Field_1,CV_2,I,5.24,2.61,10.48,22.34
Triticum aestivum,Field_1,CV_2,I,6.16,3.4,16.11,39.44
Triticum aestivum,Field_1,CV_2,I,5.85,3.84,17.6,44.32
Triticum aestivum,Field_1,CV_2,I,6.79,3.61,17.76,44.85
Triticum aestivum,Field_1,CV_2,I,5.19,3.09,11.54,25.38
Triticum aestivum,Field_1,CV_2,I,6.79,3.6,19.68,51.37
Triticum aestivum,Field_1,CV_2,I,5.02,2.51,9.4,19.35
Triticum aestivum,Field_1,CV_2,I,5.72,3.64,15.38,37.08
Triticum aestivum,Field_1,CV_2,I,7.11,3.76,20.79,55.23
Triticum aestivum,Field_1,CV_2,I,6.67,2.86,14.63,34.7
Triticum aestivum,Field_1,CV_2,I,6.48,2.82,13.58,31.46
Triticum aestivum,Field_1,CV_2,I,4.62,2.33,8.22,16.19
Triticum aestivum,Field_1,CV_2,I,5.3,2.48,10.17,21.47
Triticum aestivum,Field_1,CV_2,I,5.14,2.0,7.69,14.84
Triticum aestivum,Field_1,CV_2,I,4.61,2.3,7.37,14.01
Triticum aestivum,Field_1,CV_2,I,7.23,3.87,21.41,57.41
Triticum aestivum,Field_1,CV_2,I,5.98,3.21,15.02,35.95
Triticum aestivum,Field_1,CV_2,I,5.84,3.04,12.94,29.52
Triticum aestivum,Field_1,CV_2,I,6.9,3.32,17.21,43.03
Triticum aestivum,Field_1,CV_2,I,5.76,3.28,14.34,33.81
Triticum aestivum,Field_1,CV_2,I,7.09,3.48,19.34,50.22
Triticum aestivum,Field_1,CV_2,I,7.15,4.0,21.4,57.38
Triticum aestivum,Field_1,CV_2,I,6.88,3.05,16.02,39.15
Triticum aestivum,Field_1,CV_2,I,5.43,3.16,13.17,30.22
Triticum aestivum,Field_1,CV_2,I,6.55,3.12,16.41,40.41
Triticum aestivum,Field_1,CV_2,I,4.76,2.26,7.84,15.23
Triticum aestivum,Field_1,CV_2,I,6.23,2.86,13.32,30.68
Triticum aestivum,Field_1,CV_2,I,4.52,1.99,6.46,11.79
Triticum aestivum,Field_1,CV_2,I,6.34,3.37,16.47,40.59
Triticum aestivum,Field_1,CV_2,I,6.61,2.66,12.41,27.93
Triticum aestivum,Field_1,CV_2,I,6.32,2.7,12.89,29.36
Triticum aestivum,Field_1,CV_2,I,6.73,3.44,18.6,47.68
Triticum aestivum,Field_1,CV_2,I,6.44,3.53,17.2,43.0
Triticum aestivum,Field_1,CV_2,I,7.04,2.99,15.67,38.01
Triticum aestivum,Field_1,CV_2,I,6.19,3.36,15.49,37.44
Triticum aestivum,Field_1,CV_2,I,5.49,2.39,9.81,20.46
Triticum aestivum,Field_1,CV_2,I,6.39,3.13,15.5,37.47
Triticum aestivum,Field_1,CV_2,I,6.46,3.58,17.39,43.61
Triticum aestivum,Field_1,CV_2,I,6.44,3.42,17.3,43.32
Triticum aestivum,Field_1,CV_2,I,6.19,3.67,17.1,42.68
Triticum aestivum,Field_1,CV_2,I,6.52,2.43,11.49,25.23
Triticum aestivum,Field_1,CV_2,I,6.23,2.83,13.8,32.14
Triticum aestivum,Field_1,CV_2,I,5.14,3.2,12.66,28.67
Triticum aestivum,Field_1,CV_2,I,3.96,2.22,6.47,11.81
Triticum aestivum,Field_1,CV_2,I,6.76,3.74,19.85,51.95
Triticum aestivum,Field_1,CV_2,I,6.26,2.52,11.04,23.92
Triticum aestivum,Field_1,CV_2,I,6.13,3.03,14.24,33.48
Triticum aestivum,Field_1,CV_2,I,4.59,2.27,7.49,14.32
Triticum aestivum,Field_1,CV_2,I,6.4,2.66,12.83,29.18
Triticum aestivum,Field_1,CV_2,I,6.33,2.6,12.21,27.33
Triticum aestivum,Field_1,CV_2,I,7.13,3.28,18.23,46.42
Triticum aestivum,Field_1,CV_2,I,6.21,3.1,14.52,34.36
Triticum aestivum,Field_1,CV_2,I,5.14,2.55,9.74,20.27
Triticum aestivum,Field_1,CV_2,I,6.69,3.76,19.37,50.31
Triticum aestivum,Field_1,CV_2,I,7.21,3.79,20.52,54.3
Triticum aestivum,Field_1,CV_2,I,6.72,3.4,17.92,45.38
Triticum aestivum,Field_1,CV_2,I,7.22,3.66,19.73,51.56
Triticum aestivum,Field_1,CV_2,I,5.99,2.53,11.19,24.36
Triticum aestivum,Field_1,CV_2,I,6.29,3.32,16.25,39.9
Triticum aestivum,Field_1,CV_2,I,6.49,3.33,16.63,41.11
Triticum aestivum,Field_1,CV_2,I,6.87,3.55,19.27,49.97
Triticum aestivum,Field_1,CV_2,I,5.78,2.94,13.39,30.86
Triticum aestivum,Field_1,CV_2,I,6.75,3.49,18.68,47.95
Triticum aestivum,Field_1,CV_2,I,6.17,3.35,15.61,37.81
Triticum aestivum,Field_1,CV_2,I,6.45,3.76,17.8,45.0
Triticum aestivum,Field_1,CV_2,I,6.28,3.8,18.25,46.48
Triticum aestivum,Field_1,CV_2,I,6.34,3.71,18.07,45.89
Triticum aestivum,Field_1,CV_2,I,4.86,2.3,8.39,16.65
Triticum aestivum,Field_1,CV_2,I,6.68,3.8,18.9,48.7
Triticum aestivum,Field_1,CV_2,I,5.83,2.86,12.7,28.8
Triticum aestivum,Field_1,CV_2,I,5.85,2.56,11.21,24.41
Triticum aestivum,Field_1,CV_2,I,6.04,3.53,15.92,38.81
Triticum aestivum,Field_1,CV_2,I,6.73,3.47,17.95,45.5
Triticum aestivum,Field_1,CV_2,I,6.97,3.28,18.18,46.24
Triticum aestivum,Field_1,CV_2,I,6.19,2.78,13.01,29.71
Triticum aestivum,Field_1,CV_2,I,5.88,2.55,11.43,25.05
Triticum aestivum,Field_1,CV_2,I,5.84,3.19,13.9,32.44
Triticum aestivum,Field_1,CV_2,I,6.43,3.25,15.65,37.95
Triticum aestivum,Field_1,CV_2,I,5.2,3.1,12.33,27.69
Triticum aestivum,Field_1,CV_2,I,7.03,3.43,18.43,47.11
Triticum aestivum,Field_1,CV_2,I,5.91,3.22,14.19,33.34
Triticum aestivum,Field_1,CV_2,I,6.23,2.8,13.63,31.59
Triticum aestivum,Field_1,CV_2,I,6.13,3.05,14.36,33.87
Triticum aestivum,Field_1,CV_2,I,4.6,2.35,8.07,15.8
Triticum aestivum,Field_1,CV_2,I,5.85,2.43,10.69,22.94
Triticum aestivum,Field_1,CV_2,I,6.32,2.92,12.95,29.55
Triticum aestivum,Field_1,CV_2,I,5.47,2.3,9.84,20.54
Triticum aestivum,Field_1,CV_2,I,7.06,3.8,20.96,55.82
Triticum aestivum,Field_1,CV_2,I,5.4,3.4,13.38,30.84
Triticum aestivum,Field_1,CV_2,I,7.03,3.66,19.94,52.26
Triticum aestivum,Field_1,CV_2,I,6.4,3.55,17.45,43.82
Triticum aestivum,Field_1,CV_2,I,6.06,3.04,14.56,34.48
Triticum aestivum,Field_1,CV_2,I,6.44,3.68,18.49,47.29
Triticum aestivum,Field_1,CV_2,I,6.62,3.66,19.21,49.76
Triticum aestivum,Field_1,CV_2,I,7.2,3.45,18.71,48.04
Triticum aestivum,Field_1,CV_2,I,5.72,2.9,12.2,27.3
Triticum aestivum,Field_1,CV_2,I,6.59,2.99,14.67,34.84
Triticum aestivum,Field_1,CV_2,I,7.11,3.68,18.6,47.68
Triticum aestivum,Field_1,CV_2,I,6.82,3.99,20.48,54.14
Triticum aestivum,Field_1,CV_2,I,5.65,2.9,12.82,29.15
Triticum aestivum,Field_1,CV_2,I,6.23,3.17,15.26,36.71
Triticum aestivum,Field_1,CV_2,I,7.46,3.8,21.51,57.76
Triticum aestivum,Field_1,CV_2,I,4.62,1.93,6.66,12.26
Triticum aestivum,Field_1,CV_2,I,7.07,3.88,21.04,56.1
Triticum aestivum,Field_1,CV_2,I,5.78,2.74,12.42,27.96
Triticum aestivum,Field_1,CV_2,I,6.8,3.48,18.43,47.11
Triticum aestivum,Field_1,CV_2,I,6.31,3.36,15.97,38.98
Triticum aestivum,Field_1,CV_2,I,6.45,3.1,15.31,36.85
Triticum aestivum,Field_1,CV_2,I,6.24,3.34,16.17,39.61
Triticum aestivum,Field_1,CV_2,I,5.3,2.67,10.85,23.39
Triticum aestivum,Field_1,CV_2,I,4.76,2.73,9.75,20.29
Triticum aestivum,Field_1,CV_2,I,5.91,3.24,14.55,34.45
Triticum aestivum,Field_1,CV_2,I,6.5,3.47,17.72,44.7
Triticum aestivum,Field_1,CV_2,I,5.95,2.59,11.76,26.0
Triticum aestivum,Field_1,CV_2,I,6.36,2.93,13.78,32.08
Triticum aestivum,Field_1,CV_2,I,5.56,2.51,9.83,20.51
Triticum aestivum,Field_1,CV_2,I,6.53,2.35,11.25,24.53
Triticum aestivum,Field_1,CV_2,I,6.23,2.89,13.05,29.84
Triticum aestivum,Field_1,CV_2,I,5.2,2.65,10.37,22.01
Triticum aestivum,Field_1,CV_2,I,5.44,3.34,13.67,31.73
Triticum aestivum,Field_1,CV_2,I,5.22,2.56,10.16,21.44
Triticum aestivum,Field_1,CV_2,I,5.2,2.81,11.12,24.15
Triticum aestivum,Field_1,CV_2,I,6.99,3.58,19.19,49.7
Triticum aestivum,Field_1,CV_2,I,6.07,2.44,11.66,25.71
Triticum aestivum,Field_1,CV_2,I,5.26,2.42,9.37,19.25
Triticum aestivum,Field_1,CV_2,I,6.26,3.74,18.02,45.71
Triticum aestivum,Field_1,CV_2,I,6.9,3.65,19.1,49.37
Triticum aestivum,Field_1,CV_2,I,6.14,3.48,16.64,41.16
Triticum aestivum,Field_1,CV_2,I,5.76,2.6,11.41,24.99
Triticum aestivum,Field_1,CV_2,I,6.58,2.87,14.43,34.09
Triticum aestivum,Field_1,CV_2,I,6.01,2.29,9.86,20.61
Triticum aestivum,Field_1,CV_2,I,6.06,2.71,11.96,26.6
Triticum aestivum,Field_1,CV_2,I,6.71,3.74,19.56,50.95
Triticum aestivum,Field_1,CV_2,I,6.06,2.0,8.96,18.15
Triticum aestivum,Field_1,CV_2,I,4.84,2.32,8.51,16.95
Triticum aestivum,Field_1,CV_2,I,6.87,3.46,18.45,47.17
Triticum aestivum,Field_1,CV_2,I,5.81,2.89,13.17,30.19
Triticum aestivum,Field_1,CV_2,I,5.65,2.9,12.91,29.42
Triticum aestivum,Field_1,CV_2,I,6.13,3.48,15.85,38.58
Triticum aestivum,Field_1,CV_2,I,6.13,3.42,16.57,40.93
Triticum aestivum,Field_1,CV_2,I,5.66,2.82,12.35,27.75
Triticum aestivum,Field_1,CV_2,I,6.02,3.21,14.88,35.5
Triticum aestivum,Field_1,CV_2,I,5.61,2.21,9.23,18.89
Triticum aestivum,Field_1,CV_2,I,6.38,3.58,18.11,46.01
Triticum aestivum,Field_1,CV_2,I,6.76,3.67,19.32,50.12
Triticum aestivum,Field_1,CV_2,I,6.82,3.62,19.24,49.85
Triticum aestivum,Field_1,CV_2,I,6.67,3.39,17.84,45.12
Triticum aestivum,Field_1,CV_2,I,7.24,3.71,21.17,56.57
Triticum aestivum,Field_1,CV_2,I,5.99,2.98,13.35,30.76
Triticum aestivum,Field_1,CV_2,I,6.13,3.29,14.91,35.59
Triticum aestivum,Field_1,CV_2,I,5.32,3.01,12.24,27.43
Triticum aestivum,Field_1,CV_2,I,4.97,1.96,6.99,13.06
Triticum aestivum,Field_1,CV_2,I,6.75,3.68,18.94,48.82
Triticum aestivum,Field_1,CV_2,I,6.13,3.11,14.81,35.28
Triticum aestivum,Field_1,CV_2,I,6.28,3.37,15.97,38.98
Triticum aestivum,Field_1,CV_2,I,6.78,3.47,18.41,47.02
Triticum aestivum,Field_1,CV_2,I,6.24,3.11,15.14,36.32
Triticum aestivum,Field_1,CV_2,I,5.38,3.2,12.44,28.01
Triticum aestivum,Field_1,CV_2,I,6.68,3.43,17.57,44.23
Triticum aestivum,Field_1,CV_2,I,5.5,2.89,12.0,26.7
Triticum aestivum,Field_1,CV_2,I,6.32,3.33,16.08,39.32
Triticum aestivum,Field_1,CV_2,I,6.48,2.86,13.78,32.06
Triticum aestivum,Field_1,CV_2,I,5.98,2.96,13.51,31.24
Triticum aestivum,Field_1,CV_2,I,4.94,2.23,7.91,15.41
Triticum aestivum,Field_1,CV_2,I,5.88,2.75,12.37,27.8
Triticum aestivum,Field_1,CV_2,I,4.29,2.08,6.83,12.69
Triticum aestivum,Field_1,CV_2,I,6.09,2.88,13.34,30.73
Triticum aestivum,Field_1,CV_2,I,5.95,2.98,12.89,29.36
Triticum aestivum,Field_1,CV_2,I,6.13,3.62,16.95,42.18
Triticum aestivum,Field_1,CV_2,I,5.28,2.85,11.02,23.87
Triticum aestivum,Field_1,CV_2,I,6.38,3.25,16.33,40.13
Triticum aestivum,Field_1,CV_2,I,6.55,3.33,17.32,43.38
Triticum aestivum,Field_1,CV_2,I,5.1,2.42,9.42,19.4
Triticum aestivum,Field_1,CV_2,I,4.82,3.04,10.74,23.06
Triticum aestivum,Field_1,CV_2,I,5.75,2.35,10.31,21.87
Triticum aestivum,Field_1,CV_2,I,6.73,3.33,16.47,40.59
Triticum aestivum,Field_1,CV_2,I,6.42,3.31,16.87,41.89
Triticum aestivum,Field_1,CV_2,I,5.96,3.16,14.55,34.45
Triticum aestivum,Field_1,CV_2,I,5.24,3.5,13.78,32.06
Triticum aestivum,Field_1,CV_2,I,5.72,3.15,13.4,30.92
Triticum aestivum,Field_1,CV_2,I,4.52,2.7,9.2,18.8
Triticum aestivum,Field_1,CV_2,I,5.96,3.17,13.67,31.73
Triticum aestivum,Field_1,CV_2,I,5.62,3.33,13.99,32.71
Triticum aestivum,Field_1,CV_2,I,6.55,3.97,20.12,52.91
Triticum aestivum,Field_1,CV_2,I,4.18,1.83,5.53,9.6
Triticum aestivum,Field_1,CV_2,I,6.03,2.52,11.1,24.1
Triticum aestivum,Field_1,CV_2,I,6.24,3.67,16.84,41.8
Triticum aestivum,Field_1,CV_2,I,6.8,3.56,18.68,47.95
Triticum aestivum,Field_1,CV_2,I,4.06,1.87,5.64,9.84
Triticum aestivum,Field_1,CV_2,I,6.33,2.76,13.0,29.68
Triticum aestivum,Field_1,CV_2,I,6.28,3.44,16.76,41.54
Triticum aestivum,Field_1,CV_2,I,6.01,3.08,14.22,33.43
Triticum aestivum,Field_1,CV_2,I,4.16,2.06,6.43,11.7
Triticum aestivum,Field_1,CV_2,I,6.95,3.42,19.11,49.4
Triticum aestivum,Field_1,CV_2,I,6.67,3.44,17.8,45.0
Triticum aestivum,Field_1,CV_2,I,6.65,3.21,16.59,40.99
Triticum aestivum,Field_1,CV_2,I,6.37,3.49,16.78,41.6
Triticum aestivum,Field_1,CV_2,I,5.84,2.3,10.23,21.64
Triticum aestivum,Field_1,CV_2,I,6.21,2.24,10.6,22.66
Triticum aestivum,Field_1,CV_2,I,6.57,3.66,18.43,47.11
Triticum aestivum,Field_1,CV_2,I,5.09,2.22,8.31,16.44
Triticum aestivum,Field_1,CV_2,I,5.86,3.18,14.56,34.48
Triticum aestivum,Field_1,CV_2,I,5.56,2.4,10.06,21.15
Triticum aestivum,Field_1,CV_2,I,6.15,2.66,11.71,25.87
Triticum aestivum,Field_1,CV_2,I,5.67,2.28,9.49,19.59
